time,ax,ay,az
54:59.7,0.06,-0.14,0.12
54:59.8,0.02,-0.04,0.1
54:59.9,0.05,-0.12,0.01
55:00.0,-0.03,-0.05,-0.15
55:00.1,0.05,-0.07,-0.06
55:00.2,0.03,-0.05,-0.03
55:00.3,0.07,-0.05,0.18
55:00.4,-0.02,-0.03,0.19
55:00.5,0.01,0.11,-0.02
55:00.6,0.02,-0.03,0.07
55:00.7,0.12,-0.01,0.05
55:00.8,0.06,0.02,0.09
55:00.9,-0.03,-0.03,0.02
55:01.0,-0.01,0.01,-0.01
55:01.1,0.04,0,0.04
55:01.2,0.1,-0.01,-0.03
55:01.3,0.11,0.07,0.03
55:01.4,-0.06,-0.03,-0.04
55:01.5,0.04,0.08,-0.16
55:01.6,0.06,0.03,-0.11
55:01.7,0.03,0,0.11
55:01.8,0.11,-0.01,0.37
55:01.9,0.03,-0.05,0.23
55:02.0,-0.03,-0.09,-0.05
55:02.1,0.06,-0.17,-0.1
55:02.2,0.01,-0.28,0.2
55:02.3,-0.01,-0.28,0.05
55:02.4,-0.03,-0.23,-0.12
55:02.5,-0.05,-0.2,0
55:02.6,-0.03,-0.18,0
55:02.7,0.15,-0.1,0.03
55:02.8,0.05,-0.08,0.04
55:02.9,-0.01,-0.05,-0.04
55:03.0,-0.11,-0.05,-0.05
55:03.1,0,-0.04,-0.03
55:03.2,0.04,-0.05,0.03
55:03.3,0.03,-0.04,0.01
55:03.4,-0.05,-0.03,-0.01
55:03.5,-0.03,-0.01,0.01
55:03.6,-0.02,-0.01,0.01
55:03.7,0.01,-0.01,0.02
55:03.8,0.03,-0.01,0.01
55:03.9,0.04,-0.03,0.01
55:04.0,0.01,-0.03,0.01
55:04.1,0,-0.03,0.01
55:04.2,0.02,-0.02,-0.01
55:04.3,0,-0.02,0.02
55:04.4,-0.03,-0.01,0
55:04.5,-0.01,-0.01,0
55:04.6,0,-0.02,0.02
55:04.7,-0.03,-0.05,-0.01
55:04.8,0.04,-0.05,0.02
55:04.9,0.03,-0.07,0.02
55:05.0,0.03,-0.06,-0.04
55:05.1,0.01,-0.07,0.03
55:05.2,0.03,-0.07,0.01
55:05.3,0,-0.06,-0.01
55:05.4,-0.02,-0.04,-0.01
55:05.5,0.03,-0.05,0.02
55:05.6,0.01,-0.02,-0.09
55:05.8,-0.04,-0.03,0
55:05.9,0.04,-0.02,0.02
55:06.0,0,-0.03,0.04
55:06.1,0,0.02,0.02
55:06.2,0,-0.04,0.05
55:06.3,0.04,-0.01,-0.01
55:06.4,0,0,0.09
55:06.5,-0.02,0.01,0.02
55:06.6,0,0.03,-0.08
55:06.7,-0.05,-0.01,-0.01
55:06.8,-0.03,-0.04,0.05
55:06.9,-0.03,-0.03,0.16
55:07.0,0,0.03,-0.01
55:07.1,0,0.02,-0.02
55:07.2,-0.01,0.01,0.01
55:07.3,0,0.02,0
55:07.4,0.02,0.01,-0.01
55:07.5,-0.02,0.01,-0.01
55:07.6,0.02,0.02,-0.01
55:07.7,-0.02,0.02,0.02
55:07.8,-0.08,0,0.02
55:07.9,0.09,0.04,0.01
55:08.0,0.01,0.03,0
55:08.1,-0.01,0.02,0.05
55:08.2,0.01,0.02,-0.01
55:08.3,0.07,0.05,-0.02
55:08.4,0.04,0.05,-0.02
55:08.5,0.04,0.08,-0.07
55:08.6,0.11,0.03,-0.06
55:08.7,0.01,0.01,0.17
55:08.8,-0.03,0.04,0.1
55:08.9,0.04,0.05,-0.03
55:09.0,0.01,0.02,0
55:09.1,-0.06,0.03,0.02
55:09.2,0.11,0.02,0
55:09.3,-0.01,0.05,-0.07
55:09.4,-0.07,0.03,0.02
55:09.5,-0.05,0.03,-0.03
55:09.6,0.03,0.06,0.05
55:09.7,0.02,0.07,-0.02
55:09.8,0.04,0.07,-0.02
55:09.9,-0.07,0.13,-0.01
55:10.0,-0.05,0.12,-0.04
55:10.1,-0.07,0.15,-0.05
55:10.2,-0.03,0.13,0
55:10.3,-0.09,0.15,0.02
55:10.4,0.03,0.11,0.02
55:10.5,0.03,0.14,-0.14
55:10.6,-0.04,0.13,0.03
55:10.7,-0.04,0.12,0.17
55:10.8,0,0.12,0.01
55:10.9,0.05,0.15,-0.02
55:11.0,0.02,0.13,-0.05
55:11.1,0.09,0.18,-0.07
55:11.2,-0.05,0.19,0.04
55:11.3,0,0.19,0.03
55:11.4,0.03,0.21,-0.03
55:11.5,0.01,0.18,0.04
55:11.6,0.06,0.2,0.06
55:11.7,0.01,0.21,-0.05
55:11.8,-0.03,0.18,0.02
55:11.9,0.08,0.19,0.06
55:12.0,0,0.21,-0.05
55:12.1,-0.06,0.2,-0.02
55:12.2,-0.01,0.16,0.09
55:12.3,0.01,0.17,0.02
55:12.4,0.05,0.19,-0.05
55:12.5,0.03,0.19,-0.02
55:12.6,-0.01,0.17,0.04
55:12.7,-0.03,0.15,0.04
55:12.8,0.01,0.16,0
55:12.9,0.06,0.16,-0.01
55:13.0,0.02,0.16,-0.01
55:13.1,-0.04,0.16,0.01
55:13.2,-0.03,0.16,0
55:13.3,0.02,0.15,0.01
55:13.4,0.05,0.15,0.01
55:13.5,0,0.14,0.01
55:13.6,-0.01,0.14,0.01
